Tree#,Groups,WScore
1,10_G2_HG-23_11_20_1_2,0.906025
1,10_HALO_2B-23_11_20_1_2,0.551398
1,11_HALO_3B-23_11_20_1_2,0.560362
1,12_HALO_4B-23_11_20_1_2,0.561046
1,12_W_plus_3_G1-23_11_20_1_2,0.932646
1,13_HALO_5B-23_11_20_1_2,0.550937
1,13_W_plus_3_G11-23_11_20_1_2,0.936828
1,14_HALO_6B-23_11_20_1_2,0.54599
1,14_W_plus_3_H6-23_11_20_1_2,0.931799
1,15_HALO_7B-23_11_20_1_2,0.542928
1,16_HALO_8B-23_11_20_1_2,0.579552
1,17_HALO_1C-23_11_20_1_2,0.538081
1,17_S6_g11-23_11_20_1_2,0.953247
1,18_11_20_1_1-23_11_20_1_2,0.566279
1,18_11_20_1_2-23_11_20_1_2,0.348834
1,18_11_20_1_3-23_11_20_1_2,0.601687
1,18_11_20_2_1-23_11_20_1_2,0.597309
1,18_11_20_2_2-23_11_20_1_2,0.560203
1,18_11_20_2_3-23_11_20_1_2,0.603233
1,18_11_20_3_1-23_11_20_1_2,0.647868
1,18_11_20_3_2-23_11_20_1_2,0.644546
1,18_11_20_3_3-23_11_20_1_2,0.305727
1,18_HALO_2C-23_11_20_1_2,0.570387
1,18_S6_H6-23_11_20_1_2,0.900958
1,19_HALO_3C-23_11_20_1_2,0.5597
1,1_HALO_1A-23_11_20_1_2,0.490543
1,20_HALO_4C-23_11_20_1_2,0.578603
1,21_HALO_5C-23_11_20_1_2,0.553024
1,22_HALO_6C-23_11_20_1_2,0.550235
1,23_11_20_1_1-23_11_20_1_2,0.42024
1,10_G2_HG-23_11_20_1_3,0.917248
1,10_HALO_2B-23_11_20_1_3,0.699011
1,11_HALO_3B-23_11_20_1_3,0.701673
1,12_HALO_4B-23_11_20_1_3,0.702981
1,12_W_plus_3_G1-23_11_20_1_3,0.94118
1,13_HALO_5B-23_11_20_1_3,0.69588
1,13_W_plus_3_G11-23_11_20_1_3,0.943134
1,14_HALO_6B-23_11_20_1_3,0.688587
1,14_W_plus_3_H6-23_11_20_1_3,0.937929
1,15_HALO_7B-23_11_20_1_3,0.694196
1,16_HALO_8B-23_11_20_1_3,0.718229
1,17_HALO_1C-23_11_20_1_3,0.686962
1,17_S6_g11-23_11_20_1_3,0.959052
1,18_11_20_1_1-23_11_20_1_3,0.32224
1,18_11_20_1_2-23_11_20_1_3,0.362471
1,18_11_20_1_3-23_11_20_1_3,0.288249
1,18_11_20_2_1-23_11_20_1_3,0.285266
1,18_11_20_2_2-23_11_20_1_3,0.263041
1,18_11_20_2_3-23_11_20_1_3,0.503156
1,18_11_20_3_1-23_11_20_1_3,0.314993
1,18_11_20_3_2-23_11_20_1_3,0.631777
1,18_11_20_3_3-23_11_20_1_3,0.224065
1,18_HALO_2C-23_11_20_1_3,0.713134
1,18_S6_H6-23_11_20_1_3,0.917724
1,19_HALO_3C-23_11_20_1_3,0.70573
